DF,SPTAN1,CD33,MGST1,PRG1,APLP2,VPREB1,ZYX,CD79A,MLC1SA,DNTT,PSMA6,CST3,LYN,TCF3_2,CD63,CSTA,CTSD,GRN,CLU,RHOG,PFC,CCND3,AZU1,gene
no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,ALL
no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,ALL
no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,ALL
no,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,ALL
no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,ALL
no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,ALL
no,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,ALL
no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,ALL
no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,ALL
no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,ALL
no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,ALL
no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,ALL
no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,ALL
no,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,ALL
no,yes,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,ALL
no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,AML
no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,AML
yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,AML
yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,AML
no,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,AML
yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,AML
yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,AML
yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,AML
